Lettre;Utilisé dans le Logotron;Niv.;_ Racine;Préfixe;Suffixe;Sens;Etymologie;Unicité;Explication;Exemples;Origine;Frequence;Exclusivité;RechercheV;;RechercheV;;Sens multiple
A;1;1;a;a-;;sans;Du grec ancien ἀ-, a- exprimant la privation.;a;;atome;Grec;Frequent;;a-;1;;1;FALSE
A;1;1;able;;-able;qui peut être;Du latin -abilis (« capable de »), suffixe formateur de noms sur la base de verbes en -are.;;;;Latin;Moyen;;;1;-able;1;FALSE
A;0;3;abori;abori-;;d'origine;Du latin origo, originis (« origine ») avec le préfixe ab-.;;Un seul mot trouvé : non retenu;aborigène;Latin;Absent;;abori-;0;;0;FALSE
A;1;3;acanth;acanth-;;l'épine;Du grec ἄκανθος, akanthos (« épine »).;acantho;;;Grec;Rare;;acanth-;1;;1;FALSE
A;2;3;acanthe;;-acanthe;épine;Du grec ἄκανθος, akanthos (« épine »).;acantho;;;Grec;Moyen;;;2;-acanthe;2;FALSE
A;2;3;acantho;acantho-;;l'épine;Du grec ἄκανθος, akanthos (« épine »).;acantho;;;Grec;Moyen;;acantho-;2;;2;FALSE
A;2;1;accidento;accidento-;;l'accident;;;;accidentologue;Moderne;Rare;;accidento-;2;;2;FALSE
A;1;3;acét;acét-;;l'acide acétique;Du latin acetum (« vinaigre »).;;;;Latin;Moyen;;acét-;1;;1;FALSE
A;2;3;acéti;acéti-;;l'acide acétique;Du latin acetum (« vinaigre »).;;;;Latin;Rare;;acéti-;2;;2;FALSE
A;2;3;acéto;acéto-;;l'acide acétique;Du latin acetum (« vinaigre »).;;;;Latin;Rare;;acéto-;2;;2;FALSE
A;2;2;acou;acou-;;l'audition;Du grec ancien ἀκούω, akoúô (« entendre »).;;;;Grec;Moyen;;acou-;2;;2;FALSE
A;2;2;acousie;;-acousie;audition;Du grec ancien ἀκούω, akoúô (« entendre »).;;;;Grec;Moyen;;;2;-acousie;2;FALSE
A;2;3;acro;acro-;;élevé(e) / extrême;Du grec ancien ἄκρος, acros (« élevé, extrême »).;;;;Grec;Frequent;;acro-;2;;2;FALSE
A;1;3;actin;actin-;;le rayon;Du grec ancien ἀκτίς, ἀκτίνος, actis, actinos (« rayon »).;;;;Grec;Moyen;;actin-;1;;1;FALSE
A;1;3;actini;actini-;;le rayon;Du grec ancien ἀκτίς, ἀκτίνος, actis, actinos (« rayon »).;;;;Grec;Rare;;actini-;1;;1;FALSE
A;2;3;actino;actino-;;le rayon;Du grec ancien ἀκτίς, ἀκτίνος, actis, actinos (« rayon »).;;;;Grec;Moyen;;actino-;2;;2;FALSE
A;2;2;acu;acu-;;l'aiguille;Du latin acus (« aiguille »).;;;acupuncture;Latin;Absent;;acu-;2;;2;FALSE
A;2;1;addicto;addicto-;;l'addiction;De l'anglais addict.;;;addictologue;Anglais;Rare;;addicto-;2;;2;FALSE
A;2;3;adelphe;;-adelphe;frère;Du grec ancien ἀδελφός, adelphós (« utérin, frère »).;;;;Grec;Moyen;;;2;-adelphe;2;FALSE
A;2;3;adelphie;;-adelphie;frère;Du grec ancien ἀδελφός, adelphós (« utérin, frère »).;;;thoradelphie;Grec;Rare;;;2;-adelphie;2;FALSE
A;1;3;adén;adén-;;la glande;Du grec ancien ἀδήν, adên (« gland »), ἀδένος, adénos (« de la glande »).;;;;Grec;Moyen;;adén-;1;;1;FALSE
A;2;3;adéno;adéno-;;la glande;Du grec ancien ἀδήν, adên (« gland »), ἀδένος, adénos (« de la glande »).;;;;Grec;Moyen;;adéno-;2;;2;FALSE
A;2;1;aéro;aéro-;;l'air;Du grec ancien ἀήρ, aêr.;;;;Grec;Frequent;;aéro-;2;;2;FALSE
A;2;2;agogie;;-agogie;guidage;Du grec ancien ἀγωγή, agôgê (« action de mener ») ou ἀγωγός, agôgos (« qui conduit, qui guide ») dérivé de ἄγω, agô (« mener »).;agogie : guider;;;Grec;Moyen;;;2;-agogie;2;FALSE
A;1;2;agogique;;-agogique;guidage;Du grec ancien ἀγωγή, agôgê (« action de mener ») ou ἀγωγός, agôgos (« qui conduit, qui guide ») dérivé de ἄγω, agô (« mener »).;agogie : guider;;;Grec;Moyen;;;1;-agogique;1;FALSE
A;2;2;agogue;;-agogue;meneur;Du grec ancien ἀγωγή, agôgê (« action de mener ») ou ἀγωγός, agôgos (« qui conduit, qui guide ») dérivé de ἄγω, agô (« mener »).;agogie : guider;;pédagogue;Grec;Moyen;;;2;-agogue;2;FALSE
A;2;2;agogue;;-agogue;conduction -> écoulement;Du grec ancien ἀγωγή, agôgê (« action de mener ») ou ἀγωγός, agôgos (« qui conduit, qui guide ») dérivé de ἄγω, agô (« mener »).;agogie : écouler;;sialogogue;Grec;Moyen;;;2;-agogue;2;TRUE
A;2;2;agora;agora-;;le lieu public;Du grec ancien ἀγορά agorá (« assemblée, place publique »).;;;;Grec;Rare;;agora-;2;;2;FALSE
A;2;1;agri;agri-;;le champ;Du latin ager, agri, (« champs »), lui-même du grec ancien ἀγρός, agrós (« champs »).;;;;Latin;Moyen;;agri-;2;;2;FALSE
A;2;1;agro;agro-;;le champ;Du latin ager, agri, (« champs »), lui-même du grec ancien ἀγρός, agrós (« champs »).;;;;Latin;Frequent;;agro-;2;;2;FALSE
A;2;2;algésie;;-algésie;douleur;Du grec ancien ἄλγος algos (« douleur »).;algos;;;Grec;Moyen;;;2;-algésie;2;FALSE
A;1;2;algésique;;-algésique;douleur;Du grec ancien ἄλγος algos (« douleur »).;algos;;;Grec;Rare;;;1;-algésique;1;FALSE
A;2;2;algie;;-algie;douleur;Du grec ancien ἄλγος algos (« douleur »).;algos;;;Grec;Frequent;;;2;-algie;2;FALSE
A;1;2;algique;;-algique;douleur;Du grec ancien ἄλγος algos (« douleur »).;algos;;;Grec;Moyen;;;1;-algique;1;FALSE
A;2;2;algo;algo-;;la douleur;Du grec ancien ἄλγος algos (« douleur »).;algos;;;Grec;Moyen;;algo-;2;;2;FALSE
A;2;2;algo;algo-;;l'algue;Du latin alga (« algue »).;alga;;algothérapie;Latin;Moyen;algoculteur, algoculture, algoïde, algothérapie;algo-;2;;2;TRUE
A;2;3;allo;allo-;;l'autre;Du grec ancien ἄλλος, allos (« autre »).;allo;;allopathie;Grec;Frequent;;allo-;2;;2;FALSE
A;2;2;alter;alter-;;l'autre;Du latin alter (« autre »).;;;alternatif;Latin;Absent;;alter-;2;;2;FALSE
A;2;2;alti;alti-;;élevé(e);Du latin altus (« élevé »).;;;altimètre;Latin;Moyen;;alti-;2;;2;FALSE
A;1;2;alumin;alumin-;;l'aluminium;De l'anglais aluminium dérivé du latin alumen (« alun »).;;;aluminose;Moderne;Rare;;alumin-;1;;1;FALSE
A;2;2;alumino;alumino-;;l'aluminium;De l'anglais aluminium dérivé du latin alumen (« alun »).;;;aluminothermie;Moderne;Rare;;alumino-;2;;2;FALSE
A;2;2;ambi;ambi-;;double;Du latin ambi-.;ambi;;;Latin;Rare;;ambi-;2;;2;FALSE
A;2;3;amnio;amnio-;;le bassin;Du grec ancien ἀμνίον, amníov (« bassin »).;;;;Grec;Moyen;;amnio-;2;;2;FALSE
A;1;3;amniotique;;-amniotique;bassin;Du grec ancien ἀμνίον, amníov (« bassin »).;;;diamniotique;Grec;Rare;;;1;-amniotique;1;FALSE
A;1;3;amph;amph-;;des deux côtés;Du grec ancien ἀμφίς, amphís (« des deux côtés »).;;;;Grec;Rare;;amph-;1;;1;FALSE
A;2;3;amphi;amphi-;;des deux côtés;Du grec ancien ἀμφίς, amphís (« des deux côtés »).;;;;Grec;Moyen;;amphi-;2;;2;FALSE
A;2;3;ampho;ampho-;;des deux côtés;Du grec ancien ἀμφίς, amphís (« des deux côtés »).;;;;Grec;Rare;;ampho-;2;;2;FALSE
A;1;3;amyl;amyl-;;la farine / l'amidon;Du grec ancien ἄμυλον, amylon (« farine »).;;;;Grec;Rare;;amyl-;1;;1;FALSE
A;2;3;amylo;amylo-;;la farine / l'amidon;Du grec ancien ἄμυλον, amylon (« farine »).;;;;Grec;Moyen;;amylo-;2;;2;FALSE
A;1;2;an;an-;;sans;;an;;anémie;;Frequent;;an-;1;;1;FALSE
A;2;3;ana;ana-;;l'autre / à travers / à nouveau / vers le haut;Du grec ancien ἀνά, ana (« à nouveau, encore », « en haut de, sur », « à travers »).;;;;Grec;Frequent;;ana-;2;;2;FALSE
A;2;1;anarcho;anarcho-;;anarchiste;;;;anarchosyndicaliste;Néologisme amusant;Absent;;anarcho-;2;;2;FALSE
A;0;3;ancylo;ancylo-;;resserré(e);Variante orthog. d'ankylo-;;;;;Absent;;ancylo-;0;;0;FALSE
A;1;2;andr;andr-;;l'homme / le male;Du grec ancien ἀνδρός, andrós, génitif singulier de ἀνήρ, anếr (« homme »).;andro;Préfixe qui donne le sens de homme, de sexe masculin.;;Grec;Moyen;;andr-;1;;1;FALSE
A;2;2;andre;;-andre;homme -> male;Du grec ancien ἀνδρός, andrós, génitif singulier de ἀνήρ, anếr (« homme »).;andro;Suffixe indiquant un rapport avec le sexe masculin.;;Grec;Moyen;;;2;-andre;2;FALSE
A;2;2;andrie;;-andrie;homme -> male;Du grec ancien ἀνδρός, andrós, génitif singulier de ἀνήρ, anếr (« homme »).;andro;Suffixe indiquant un rapport avec le sexe masculin.;;Grec;Moyen;;;2;-andrie;2;FALSE
A;2;2;andro;andro-;;l'homme / le male;Du grec ancien ἀνδρός, andrós, génitif singulier de ἀνήρ, anếr (« homme »).;andro;Préfixe qui donne le sens de homme, de sexe masculin.;;Grec;Frequent;;andro-;2;;2;FALSE
A;2;3;anémo;anémo-;;le vent;Du grec ancien ἄνεμος, ánemos (« vent »).;;;;Grec;Moyen;;anémo-;2;;2;FALSE
A;2;3;angéio;angéio-;;le vaisseau;Du grec ancien ἀγγεῖον, angeîon (« vase, capsule, vaisseau »).;;;;Grec;Moyen;;angéio-;2;;2;FALSE
A;2;3;angi;angi-;;le vaisseau;Du grec ancien ἀγγεῖον, angeîon (« vase, capsule, vaisseau »).;;;;Grec;Moyen;;angi-;2;;2;FALSE
A;2;3;angio;angio-;;le vaisseau;Du grec ancien ἀγγεῖον, angeîon (« vase, capsule, vaisseau »).;;;;Grec;Frequent;;angio-;2;;2;FALSE
