Mots avec des préfixes multiples et un suffixe avec l'unicité :
-------------------------------------------------------------
abiogenèse | CRÉATION  SANS DE LA VIE | genèse - a - bio | gène - a+bio
abiotrophie | NOURRITURE / CROISSANCE  SANS DE LA VIE | trophie - a - bio | tropho - a+bio
acardite | INFLAMMATION  SANS DU CŒUR | ite - a - card |  - a+
acatalepsie | ATTAQUE  SANS VERS LE BAS | lepsie - a - cata |  - a+
acataleptique | ATTAQUE  SANS VERS LE BAS | leptique - a - cata |  - a+
acéricole | CULTIVER / HABITER / RENDRE UN CULTE  SANS DE LA CIRE | cole - a - céri | cult - a+
acériculture | CULTURE  SANS DE LA CIRE | culture - a - céri | cult - a+
acholurique | À PROPOS  SANS DE LA BILE DE L'URINE | ique - a - chol - ur |  - a++
achondroplasie | FAÇONNEMENT  SANS DU CARTILAGE | plasie - a - chondro | plasmo - a+
achromateuse | AGENTE / QUALITÉ  SANS DE LA COULEUR | euse - a - chromat |  - a+chromo
achromateux | AGENT / QUALITÉ  SANS DE LA COULEUR | eux - a - chromat |  - a+chromo
achromatique | À PROPOS  SANS DE LA COULEUR | ique - a - chromat |  - a+chromo
achromatisme | DOCTRINE / ÉTAT / PROFESSION  SANS DE LA COULEUR | isme - a - chromat |  - a+chromo
achromatopsie | VISION  SANS DE LA COULEUR | opsie - a - chromat |  - a+chromo
achromique | À PROPOS  SANS DE LA COULEUR | ique - a - chrom |  - a+chromo
acosmisme | DOCTRINE / ÉTAT / PROFESSION  SANS DE L'UNIVERS | isme - a - cosm |  - a+cosmo
acoumastique | À PROPOS  DE L'AUDITION DU SEIN | ique - acou - mast |  - +
acrodermatite | INFLAMMATION  ÉLEVÉ(E) / EXTRÊME DE LA PEAU | ite - acro - dermat |  - +
acroparesthésie | SENSATION  ÉLEVÉ(E) / EXTRÊME À TRAVERS / DE PART EN PART / TERMINER / INTENSE | esthésie - acro - par |  - +
acropolyarthrite | INFLAMMATION  ÉLEVÉ(E) / EXTRÊME MULTIPLE DE L'ARTICULATION | ite - acro - poly - arthr |  - ++
acrotomophilie | AMOUR  ÉLEVÉ(E) / EXTRÊME DÉCOUPÉ(E) | philie - acro - tomo | philo - +tomo
