// Définitions incertaines

// Difficulté à trouver le bon mot en parlant
paralalie;BAVARDAGE  À COTÉ
// paralalie;BAVARDAGE  CONTRE

paraphylaxie;PROTECTION  À COTÉ
// paraphylaxie;PROTECTION  CONTRE

parapraxie;ACTION  À COTÉ
// parapraxie;ACTION  CONTRE

// parasomnie;SOMMEIL  À COTÉ
parasomnie;SOMMEIL  CONTRE

sidérique;À PROPOS  DU FER
//sidérique;À PROPOS  DE L'ASTRE -> DE STUPEUR

transgastrique;VENTRE / ESTOMAC  DE LA MODIFICATION
//transgastrique;VENTRE / ESTOMAC  DU PASSAGE À TRAVERS / AU-DELÀ

//transthermie;CHALEUR  DE LA MODIFICATION
transthermie;CHALEUR  DU PASSAGE À TRAVERS / AU-DELÀ


// Les deux définitions sont fausses (mots mal formés)

// Plieuse mécanique, qui exécute en même temps le métrage des étoffes.
rectomètre;MESUREUR  DU RECTUM

déesse;FÉMININ  ENLEVER
déesse;QUALITÉ  ENLEVER

// Du grec ancien ἐπίγονος, epígonos (« descendant, né après »).
épigone;ANGLE  SUR
épigone;PROCRÉATION  SUR

// Les statolithes sont des amyloplastes spécialisés impliqués dans la perception de la gravité chez les plantes
statolithe;PIERRE  DE L'ÉTAT
statolithe;PIERRE  FIXÉ(E)
statolithe;PIERRE  IMMOBILE

// Le trichogramme est un insecte
trichogramme;ÉCRITURE  DU POIL

centurie;URINE  DU CENTIÈME

demiurge;TRAVAILLEUR  DE LA MOITIÉ

biopsie;VISION  DOUBLE

cosmide;APPARENCE  DE L'UNIVERS

diable;QUI PEUT ÊTRE  DOUBLE


// Définitions fausses

archégone;ANGLE  ANCIEN(NE)
arithmomane;MAIN  DU NOMBRE
bibliomane;MAIN  DU LIVRE
bimane;MANIAQUE  DOUBLE
carcinogène;GÉNÉRATEUR / ORIGINE  DU CRUSTACÉ
carcinogenèse;CRÉATION  DU CRUSTACÉ
carcinogénétique;CRÉATION  DU CRUSTACÉ
carcinoïde;APPARENCE  DU CRUSTACÉ
carcinologie;ÉTUDE  DU CRUSTACÉ
carcinologique;ÉTUDE  DU CRUSTACÉ
carcinolytique;DÉCOMPOSITION  DU CRUSTACÉ
carcinotron;MACHINE  DU CRUSTACÉ
carpogone;ANGLE  DU FRUIT
chlorite;INFLAMMATION  CHLORÉ(E)
cholagogue;MENEUR  DE LA BILE
cleptomane;MAIN  DU VOL
décagone;PROCRÉATION  DIX
entérogone;ANGLE  DE L'INTESTIN
érotomane;MAIN  DE L'ÉROTISME
graphomane;MAIN  DE L'ÉCRITURE
hexagone;PROCRÉATION  SIX
hydragogue;MENEUR  DE L'EAU
hypomane;MAIN  INFÉRIEUR(E)
isogone;PROCRÉATION  IDENTIQUE
lymphagogue;MENEUR  LIQUIDE
mégalomane;MAIN  GRAND(E)
mélodrame;THÉÂTRE  DU MEMBRE
mélomane;MAIN  DU CHANT
mélomane;MAIN  DU MEMBRE
mélomane;MANIAQUE  DU MEMBRE
mélomanie;OBSESSION  DU MEMBRE
mélomèle;MEMBRE  DU CHANT
mélomélie;MEMBRE  DU CHANT
mélophage;MANGEUR  DU CHANT
méloplastie;FAÇONNEMENT  DU MEMBRE
mélothérapie;MÉDECINE  DU MEMBRE
mélotomie;DÉCOUPE  DU CHANT
monomane;MAIN  UNIQUE
mythomane;MAIN  DU MYTHE
narcomane;MAIN  DU SOMMEIL / DE LA DROGUE
octogone;PROCRÉATION  QUATRE-VINGT
orogène;GÉNÉRATEUR / ORIGINE  DE LA BOUCHE
orogenèse;CRÉATION  DE LA BOUCHE
orogénèse;CRÉATION  DE LA BOUCHE
orogénèse;CRÉATION  DE LA MONTAGNE
orogénie;DÉVELOPPEMENT  DE LA BOUCHE
orogénique;DÉVELOPPEMENT  DE LA BOUCHE
orographie;ÉCRITURE  DE LA BOUCHE
orographique;ÉCRITURE  DE LA BOUCHE
orologie;ÉTUDE  DE LA BOUCHE
