mot;DÉFINITION;préfixe;suffixe;niveau préfixe;niveau suffixe;unicité préfixe;unicité suffixe;fréq. préfixe;fréq. suffixe
logotron;MACHINE  DE LA PAROLE;logo;tron;1;2;logo;tron;Frequent;Moyen
podoclaste;CASSEUR  DU PIED;podo;claste;2;3;;clase;Moyen;Moyen
bullshitomètre;MESUREUR  DE LA CONNERIE;bullshito;mètre;2;1;;métro (métron);Rare;Frequent
câlinothérapie;MÉDECINE  DU CÂLIN;câlino;thérapie;1;1;;thérapie;Rare;Frequent
capitalocène;RÉCENT(E) -> L'ÈRE  CAPITALISTE;capitalo;cène;1;3;;;Rare;Moyen
abiotique;VIE  SANS;a;biotique;1;1;a;bio;Frequent;Moyen
acalorique;CHALEUR  SANS;a;calorique;1;2;a;calori;Frequent;Moyen
acanthocéphale;TÊTE  DE L'ÉPINE;acantho;céphale;3;2;acantho;;Moyen;Frequent
acanthocyte;CELLULE  DE L'ÉPINE;acantho;cyte;3;2;acantho;;Moyen;Frequent
acanthodactyle;DOIGT  DE L'ÉPINE;acantho;dactyle;3;2;acantho;dactylo;Moyen;Frequent
acanthoglosse;LANGUE  DE L'ÉPINE;acantho;glosse;3;3;acantho;glosso;Moyen;Frequent
acanthologie;ÉTUDE  DE L'ÉPINE;acantho;logie;3;1;acantho;logo;Moyen;Frequent
acantholyse;DÉCOMPOSITION  DE L'ÉPINE;acantho;lyse;3;2;acantho;;Moyen;Frequent
acanthome;TUMEUR  DE L'ÉPINE;acanth(o);ome;3;2;acantho;;Moyen;Frequent
acanthomètre;MESUREUR  DE L'ÉPINE;acantho;mètre;3;1;acantho;métro (métron);Moyen;Frequent
acanthozoïde;ANIMAL  DE L'ÉPINE;acantho;zoïde;3;1;acantho;;Moyen;Moyen
acarpe;FRUIT  SANS;a;carpe;1;3;a;karpos : fruit;Frequent;Frequent
accidentogène;GÉNÉRATEUR / ORIGINE  DE L'ACCIDENT;accidento;gène;1;2;;gène;Rare;Frequent
accidentologie;ÉTUDE  DE L'ACCIDENT;accidento;logie;1;1;;logo;Rare;Frequent
accidentologique;ÉTUDE  DE L'ACCIDENT;accidento;logique;1;1;;logo;Rare;Frequent
accidentologue;SPÉCIALISTE / DISCOURS  DE L'ACCIDENT;accidento;logue;1;1;;logo;Rare;Frequent
acentrique;CENTRÉ  SANS;a;centrique;1;1;a;centro;Frequent;Frequent
acéphale;TÊTE  SANS;a;céphale;1;2;a;;Frequent;Frequent
acéphalie;TÊTE  SANS;a;céphalie;1;2;a;;Frequent;Frequent
acère;CORNE  SANS;a;cère;1;3;a;cérato;Frequent;Frequent
acéteuse;AGENTE / QUALITÉ  DE L'ACIDE ACÉTIQUE;acét;euse;3;2;;;Moyen;Frequent
acéteux;AGENT / QUALITÉ  DE L'ACIDE ACÉTIQUE;acét;eux;3;2;;;Moyen;Frequent
acétimètre;MESUREUR  DE L'ACIDE ACÉTIQUE;acéti;mètre;3;1;;métro (métron);Rare;Frequent
acétimétrie;MESURE  DE L'ACIDE ACÉTIQUE;acéti;métrie;3;1;;métro (métron);Rare;Frequent
acétimétrique;MESURAGE  DE L'ACIDE ACÉTIQUE;acéti;métrique;3;1;;métro (métron);Rare;Frequent
acétique;À PROPOS  DE L'ACIDE ACÉTIQUE;acét;ique;3;2;;;Moyen;Frequent
acétobacter;BACTÉRIE  DE L'ACIDE ACÉTIQUE;acéto;bacter;3;1;;;Rare;Rare
acétomètre;MESUREUR  DE L'ACIDE ACÉTIQUE;acéto;mètre;3;1;;métro (métron);Rare;Frequent
acétonémie;LE SANG  DE L'ACIDE ACÉTIQUE;acéto;némie;3;3;;;Rare;Moyen
acétoxyle;BOIS  DE L'ACIDE ACÉTIQUE;acéto;xyle;3;2;;xylo;Rare;Moyen
achrome;COULEUR  SANS;a;chrome;1;1;a;chromo;Frequent;Frequent
achromie;COULEUR  SANS;a;chromie;1;1;a;chromo;Frequent;Frequent
achronique;TEMPOREL(LE)  SANS;a;chronique;1;1;a;chrono;Frequent;Moyen
acide;QUI TUE  SANS;a;cide;1;1;a;;Frequent;Frequent
acinèse;MOUVEMENT  SANS;a;cinèse;1;2;a;cinèse;Frequent;Moyen
acinésie;MOUVEMENT  SANS;a;cinésie;1;2;a;cinèse;Frequent;Moyen
acinétique;MOUVEMENT  SANS;a;cinétique;1;2;a;cinèse;Frequent;Moyen
acosmique;UNIVERSALITÉ  SANS;a;cosmique;1;1;a;cosmo;Frequent;Rare
acoumètre;MESUREUR  DE L'AUDITION;acou;mètre;2;1;;métro (métron);Moyen;Frequent
acoumétrie;MESURE  DE L'AUDITION;acou;métrie;2;1;;métro (métron);Moyen;Frequent
acoumétrique;MESURAGE  DE L'AUDITION;acou;métrique;2;1;;métro (métron);Moyen;Frequent
acouphène;APPARITION  DE L'AUDITION;acou;phène;2;3;;;Moyen;Moyen
acrocarpe;FRUIT  ÉLEVÉ(E) / EXTRÊME;acro;carpe;3;3;;karpos : fruit;Frequent;Frequent
acrocentrique;CENTRÉ  ÉLEVÉ(E) / EXTRÊME;acro;centrique;3;1;;centro;Frequent;Frequent
acrocéphale;TÊTE  ÉLEVÉ(E) / EXTRÊME;acro;céphale;3;2;;;Frequent;Frequent
acrocéphalie;TÊTE  ÉLEVÉ(E) / EXTRÊME;acro;céphalie;3;2;;;Frequent;Frequent
acrocéphalique;TÊTE  ÉLEVÉ(E) / EXTRÊME;acro;céphalique;3;2;;;Frequent;Rare
acrodonte;DENT  ÉLEVÉ(E) / EXTRÊME;acr(o);odonte;3;3;;;Frequent;Frequent
acrodynie;ÉNERGIE  ÉLEVÉ(E) / EXTRÊME;acro;dynie;3;2;;dyne;Frequent;Frequent
acroïde;APPARENCE  ÉLEVÉ(E) / EXTRÊME;acro;ïde;3;3;;;Frequent;Frequent
acrolithe;PIERRE  ÉLEVÉ(E) / EXTRÊME;acro;lithe;3;2;;litho;Frequent;Frequent
acrologique;ÉTUDE  ÉLEVÉ(E) / EXTRÊME;acro;logique;3;1;;logo;Frequent;Frequent
acromégalie;GRANDEUR  ÉLEVÉ(E) / EXTRÊME;acro;mégalie;3;1;;mégalo;Frequent;Moyen
acromégalique;GRANDEUR  ÉLEVÉ(E) / EXTRÊME;acro;mégalique;3;1;;mégalo;Frequent;Moyen
